2018-03-18 07:23:04.234994 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper6_a024_s695.cpf', '-o', '../solutions_04/hyper6_a024_s695_UNSAT-SAT.out', '-s', '../stat_files_04/hyper6_a024_s695_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.239810 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a256_s988.cpf', '-o', '../solutions_04/hyper9_a256_s988_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a256_s988_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.240021 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a640_s710.cpf', '-o', '../solutions_04/grid_32x32_a640_s710_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a640_s710_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.240570 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_16x16_a096_s453.cpf', '-o', '../solutions_04/grid_16x16_a096_s453_UNSAT-SAT.out', '-s', '../stat_files_04/grid_16x16_a096_s453_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.243247 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a012_s589.cpf', '-o', '../solutions_04/grid_04x04_a012_s589_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a012_s589_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.245022 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a384_s895.cpf', '-o', '../solutions_04/grid_32x32_a384_s895_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a384_s895_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.249053 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper6_a024_s348.cpf', '-o', '../solutions_04/hyper6_a024_s348_UNSAT-SAT.out', '-s', '../stat_files_04/hyper6_a024_s348_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.253456 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper3_a004_s736.cpf', '-o', '../solutions_04/hyper3_a004_s736_UNSAT-SAT.out', '-s', '../stat_files_04/hyper3_a004_s736_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.259310 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_08x08_a024_s932.cpf', '-o', '../solutions_04/grid_08x08_a024_s932_UNSAT-SAT.out', '-s', '../stat_files_04/grid_08x08_a024_s932_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.260285 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a010_s155.cpf', '-o', '../solutions_04/grid_04x04_a010_s155_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a010_s155_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.264414 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a010_s062.cpf', '-o', '../solutions_04/grid_04x04_a010_s062_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a010_s062_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.271942 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_16x16_a160_s327.cpf', '-o', '../solutions_04/grid_16x16_a160_s327_UNSAT-SAT.out', '-s', '../stat_files_04/grid_16x16_a160_s327_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.281188 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_16x16_a064_s046.cpf', '-o', '../solutions_04/grid_16x16_a064_s046_UNSAT-SAT.out', '-s', '../stat_files_04/grid_16x16_a064_s046_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:14.281930 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a384_s257.cpf', '-o', '../solutions_04/grid_32x32_a384_s257_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a384_s257_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
